,density,avg_clustering,avg_path_length,centralization
6x6,0.3142857142857143,0.47333632235593015,1.7825396825396826,0.5142857142857142
7x7,0.2066326530612245,0.3601519229070249,2.067176870748299,0.4375
10x10,0.07696969696969697,0.20275060070648304,,0.18181818181818182
