match_id,team,start_minute,end_minute,pass_count,score_context,phase_context,intensity_context,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization,normalized_path_length,normalized_centralization
3754058,AFC Bournemouth,0,5,63,tied,early,high,0.03741496598639456,0.015826252524974875,0.029018219932033098,0.12557931912765746,0.06944263717198004,0.09131205673758866,14.400374765771394,0.08940972222222224
3754058,AFC Bournemouth,1,6,60,tied,early,high,0.03486394557823129,0.012165398344746415,0.033144729523014886,0.09466119966070301,0.0772125723738627,0.09397163120567377,12.951258703802893,0.09201388888888891
3754058,AFC Bournemouth,2,7,55,tied,early,high,0.034013605442176874,0.021596650250581835,0.0315002287805994,0.1034277014248025,0.08468713971281837,0.07313829787234041,11.808168316831683,0.07161458333333333
3754058,AFC Bournemouth,3,8,47,tied,early,high,0.031462585034013606,0.04060509307776644,0.03498198352779684,0.1264147553743858,0.10248708398414033,0.09751773049645392,9.757327080890974,0.09548611111111113
3754058,AFC Bournemouth,4,9,47,tied,early,high,0.02891156462585034,0.004040563133773645,0.03083628841607565,0.12505241010639276,0.10575711766187956,0.12189716312056736,9.455628350208459,0.11935763888888888
3754058,AFC Bournemouth,5,10,43,tied,early,high,0.026360544217687076,0.00918309803130374,0.028856910672070253,0.12552460182776376,0.11274161735700196,0.12455673758865247,8.869839048285515,0.12196180555555555
3754058,AFC Bournemouth,6,11,35,tied,early,medium,0.025510204081632654,0.027551020408163263,0.029583661675860257,0.1377910641747102,0.13427083333333334,0.10372340425531915,7.4476338246702865,0.1015625
3754058,AFC Bournemouth,7,12,35,tied,early,medium,0.026360544217687076,0.05340136054421769,0.026351186109073124,0.12204470162517744,0.15371102327624067,0.10283687943262412,6.505714285714285,0.10069444444444446
3754058,AFC Bournemouth,8,13,42,tied,early,high,0.02976190476190476,0.0619648316821359,0.041945493022191714,0.11481098854518691,0.15547415547415547,0.0775709219858156,6.4319371727748695,0.0759548611111111
3754058,AFC Bournemouth,9,14,36,tied,early,medium,0.027210884353741496,0.027551020408163266,0.010150709219858157,0.14002261396861818,0.08888888888888889,0.08023049645390071,11.25,0.07855902777777778
3754058,AFC Bournemouth,10,15,40,tied,early,medium,0.03231292517006803,0.05170068027210884,0.016185410334346506,0.09406798357474516,0.08634330925352597,0.07491134751773049,11.581673306772908,0.07335069444444443
3754058,Leicester City,10,15,21,tied,early,low,0.012755102040816327,0.013498308265035713,0.0010638297872340424,0.11194978829807486,0.1400560224089636,0.07358156028368794,7.14,0.07204861111111112
3754058,AFC Bournemouth,11,16,36,tied,early,medium,0.02891156462585034,0.05510204081632653,0.014212101063829786,0.10040297084600475,0.09436274509803923,0.07845744680851063,10.597402597402596,0.07682291666666667
3754058,AFC Bournemouth,12,17,34,tied,early,medium,0.026360544217687076,0.021427228739708728,0.05097517730496453,0.0,0.17107583774250437,0.05939716312056737,5.8453608247422695,0.058159722222222224
3754058,Leicester City,12,17,25,tied,early,low,0.015306122448979591,0.0,0.008220502901353966,0.11392360685156415,0.20634920634920634,0.07092198581560283,4.846153846153847,0.06944444444444445
3754058,AFC Bournemouth,13,18,35,tied,early,medium,0.026360544217687076,0.015306122448979591,0.014353259034110097,0.1280501764831342,0.0994047619047619,0.08111702127659573,10.05988023952096,0.07942708333333333
3754058,Leicester City,13,18,27,tied,early,medium,0.017006802721088437,0.0,0.008680555555555554,0.10887309711077371,0.1853798375537506,0.06914893617021277,5.394329896907217,0.06770833333333334
3754058,AFC Bournemouth,14,19,33,tied,early,medium,0.02465986394557823,0.021876691699536037,0.016505421934422858,0.14616743845966268,0.10158730158730159,0.1046099290780142,9.84375,0.10243055555555558
3754058,Leicester City,14,19,30,tied,early,medium,0.0195578231292517,0.0,0.025402345881069283,0.10498178839192294,0.18548118548118547,0.08820921985815602,5.3913824057450634,0.08637152777777778
3754058,AFC Bournemouth,15,20,35,tied,early,medium,0.02295918367346939,0.01784803436007848,0.018655565834104222,0.13615537845143824,0.12430213464696224,0.10638297872340426,8.044914134742404,0.10416666666666667
3754058,Leicester City,15,20,21,tied,early,low,0.01445578231292517,0.0,0.015647163120567374,0.15156195294243957,0.22592592592592592,0.07180851063829788,4.426229508196721,0.07031250000000001
3754058,AFC Bournemouth,16,21,37,tied,early,medium,0.02465986394557823,0.01784803436007848,0.020168439716312055,0.13286337049501717,0.11660382628124563,0.1046099290780142,8.576047904191617,0.10243055555555558
3754058,Leicester City,16,21,29,tied,early,medium,0.0195578231292517,0.0,0.019134160756501182,0.14299473001647767,0.16194331983805668,0.06648936170212766,6.175,0.06510416666666667
3754058,AFC Bournemouth,17,22,35,tied,early,medium,0.02295918367346939,0.003401360544217687,0.023085106382978723,0.12219249323615716,0.13956658034619054,0.08466312056737588,7.1650390625,0.08289930555555555
3754058,Leicester City,17,22,33,tied,early,medium,0.023809523809523808,0.02142857142857143,0.006022254830031793,0.124389366688129,0.09365079365079365,0.08377659574468084,10.677966101694915,0.08203125
3754058,AFC Bournemouth,18,23,36,tied,early,medium,0.025510204081632654,0.0,0.021846504559270518,0.14505668661340146,0.12154150197628459,0.08200354609929077,8.227642276422763,0.08029513888888888
3754058,Leicester City,18,23,33,tied,early,medium,0.023809523809523808,0.02142857142857143,0.006442080378250591,0.11675295399412952,0.1,0.08377659574468084,10.0,0.08203125
3754058,AFC Bournemouth,19,24,44,tied,early,high,0.02806122448979592,0.0,0.05238807624113474,0.09182619363746086,0.16253494874184532,0.07934397163120567,6.152522935779816,0.07769097222222222
