match_id,team,start_minute,end_minute,pass_count,score_context,phase_context,intensity_context,density,clustering_coefficient,avg_betweenness_centrality,avg_eigenvector_centrality,avg_path_length,centralization
3773386,Barcelona,0,10,82,tied,early,low,0.04591836734693878,0.036430332182276266,0.0403016075497302,0.1010127691816106,4.096256684491979,0.16241496598639454
3773386,Deportivo Alavés,0,10,52,tied,early,low,0.03486394557823129,0.007482993197278911,0.019803400083437634,0.1127118470995467,3.641025641025641,0.09013605442176871
3773386,Barcelona,5,15,68,tied,early,low,0.045068027210884355,0.06032837370182662,0.028820265300761753,0.1047826284949779,3.3238636363636362,0.12159863945578231
3773386,Deportivo Alavés,5,15,45,tied,early,low,0.031462585034013606,0.022020632802092828,0.026703462213070992,0.09768550600265825,3.8945868945868947,0.09353741496598639
3773386,Barcelona,10,20,93,tied,early,low,0.058673469387755105,0.04842465743828803,0.03311811563141351,0.12415233894202636,3.234920634920635,0.1288265306122449
3773386,Deportivo Alavés,10,20,38,tied,early,low,0.030612244897959183,0.03921282798833819,0.03748337765957446,0.11228930583599221,4.650793650793651,0.11522108843537412
3773386,Barcelona,15,25,77,tied,early,low,0.045068027210884355,0.04259598865857532,0.04236796676351803,0.12719076797049514,4.395833333333333,0.12159863945578231
3773386,Deportivo Alavés,15,25,24,tied,early,low,0.0195578231292517,0.02999812023559222,0.011865793780687398,0.09341424710607402,3.8666666666666667,0.042942176870748305
3773386,Barcelona,20,30,78,tied,early,low,0.04251700680272109,0.0715936812962543,0.04491988107299657,0.10300063144696431,5.092741935483871,0.0824829931972789
3773386,Deportivo Alavés,20,30,23,tied,early,low,0.01870748299319728,0.0,0.004939209726443769,0.11077735508465078,2.948717948717949,0.06462585034013604
3773386,Barcelona,25,35,119,tied,early,medium,0.055272108843537414,0.06763831351160703,0.04039430739342087,0.1082863428672194,4.25,0.17389455782312924
3773386,Barcelona,30,40,92,tied,middle,low,0.04421768707482993,0.08918060153589506,0.017915073044604175,0.14653780040390393,3.3233333333333333,0.1641156462585034
3773386,Barcelona,35,45,53,tied,middle,low,0.030612244897959183,0.019950169191103553,0.028708980637172126,0.1213962400634115,4.063492063492063,0.09438775510204082
3773386,Barcelona,40,50,103,tied,middle,medium,0.058673469387755105,0.02978889581006966,0.051467081108362886,0.08978083959707728,4.248780487804878,0.10799319727891157
3773386,Deportivo Alavés,40,50,27,tied,middle,low,0.01870748299319728,0.030612244897959183,0.005319148936170213,0.10759676898940715,3.272727272727273,0.06462585034013604
3773386,Barcelona,45,55,136,tied,middle,medium,0.06802721088435375,0.05046634652748833,0.05321883347149304,0.08804021473667946,4.1987315010570825,0.11947278911564625
3773386,Deportivo Alavés,45,55,42,tied,middle,low,0.027210884353741496,0.024036281179138322,0.005950925246596559,0.09720883079319875,2.717948717948718,0.07695578231292516
3773386,Barcelona,50,60,91,tied,middle,low,0.047619047619047616,0.07429942211938793,0.04246031746031746,0.1197801320048158,4.115966386554621,0.1607142857142857
3773386,Deportivo Alavés,50,60,27,tied,middle,low,0.016156462585034014,0.0,0.0025521169138190414,0.10425217740146145,2.3333333333333335,0.06717687074829931
